발신인,발신번호,착신인,착신번호,시작일자,시작시간,종료일자,종료시간,통화시간(분),업체명,발신위치,발신종료,비고1,비고2
장도윤079,010-8079-1079,차미래007,010-8007-1007,2024-02-13,13:27:55,2024-02-13,13:38:57,11.04,KT,부산 해운대,서울 영등포,,
박민수,010-1122-1102,이영희,010-1111-1201,2024-06-02,21:06:56,2024-06-02,21:07:18,0.37,SKT,서울 서초,서울 영등포,,
남지연064,010-8064-1064,류하준018,010-8018-1018,2024-04-27,10:54:14,2024-04-27,10:55:35,1.35,SKT,서울 강남,서울 서초,,
남지연064,010-8064-1064,황미경035,010-8035-1035,2024-05-30,07:29:32,2024-05-30,07:46:47,17.26,LGU+,인천 부평,인천 부평,,
도하린010,010-8010-1010,고은비037,010-8037-1037,2024-05-20,03:53:14,2024-05-20,03:54:19,1.09,KT,대구 수성,서울 영등포,,
변서연028,010-8028-1028,양준석038,010-8038-1038,2024-05-05,23:49:51,2024-05-05,23:51:04,1.22,KT,서울 강남,인천 부평,,
차미래039,010-8039-1039,유태경024,010-8024-1024,2024-02-05,06:35:14,2024-02-05,06:38:20,3.11,SKT,대구 수성,인천 부평,,
신소희,010-1265-1115,마준호043,010-8043-1043,2024-05-11,15:46:41,2024-05-11,16:00:15,13.57,KT,서울 영등포,대전 유성,,
신소희,010-1265-1015,노시우041,010-8041-1041,2024-02-14,12:42:06,2024-02-14,12:46:14,4.14,SKT,수원 영통,대전 유성,,
배성호,010-1232-1112,정하늘,010-1144-1104,2024-06-09,06:48:10,2024-06-09,06:57:38,9.47,LGU+,수원 영통,수원 영통,,
마준호059,010-8059-1059,설진우077,010-8077-1077,2024-09-27,13:18:37,2024-09-27,13:20:52,2.25,KT,인천 부평,수원 영통,,
노시우073,010-8073-1073,전성호052,010-8052-1052,2024-09-16,04:58:08,2024-09-16,05:10:13,12.09,LGU+,수원 영통,인천 부평,,
신소희,010-1265-1115,마준호059,010-8059-1059,2024-05-19,06:51:07,2024-05-19,06:57:44,6.62,LGU+,수원 영통,인천 부평,,
장도윤015,010-8015-1015,황미경067,010-8067-1067,2024-05-26,03:34:18,2024-05-26,03:39:08,4.84,KT,수원 영통,대전 유성,,
강민재,010-1188-1008,양준석038,010-8038-1038,2024-01-23,22:07:01,2024-01-23,22:22:27,15.44,LGU+,서울 서초,서울 영등포,,
황미경051,010-8051-1051,마준호059,010-8059-1059,2024-01-05,01:29:12,2024-01-05,01:29:45,0.56,LGU+,부산 해운대,서울 강남,,
남지연000,010-8000-1000,송우진001,010-8001-1001,2024-03-23,07:25:50,2024-03-23,07:29:32,3.71,KT,대구 수성,부산 해운대,,
양준석006,010-8006-1006,차미래007,010-8007-1007,2024-02-13,09:38:25,2024-02-13,09:40:58,2.56,LGU+,서울 서초,서울 영등포,,
권태영,010-1276-1216,윤다은,010-1166-1206,2024-08-20,11:42:47,2024-08-20,11:43:53,1.11,LGU+,대구 수성,서울 영등포,,
김철수,010-1100-1000,이영희,010-1111-1001,2024-02-24,20:19:53,2024-02-24,20:31:44,11.86,LGU+,부산 해운대,서울 영등포,,
강민재,010-1188-1108,안채원030,010-8030-1030,2024-04-17,23:37:44,2024-04-17,23:44:41,6.96,LGU+,대구 수성,서울 영등포,,
박민수,010-1122-1102,홍예린,010-1243-1113,2024-06-07,14:28:02,2024-06-07,14:30:00,1.97,KT,서울 서초,서울 서초,,
안채원062,010-8062-1062,황미경035,010-8035-1035,2024-04-21,10:35:56,2024-04-21,10:36:20,0.4,KT,대구 수성,서울 영등포,,
임수빈,010-1221-1111,도하린010,010-8010-1010,2024-06-26,14:41:16,2024-06-26,14:54:58,13.7,SKT,부산 해운대,인천 부평,,
남지연000,010-8000-1000,마준호059,010-8059-1059,2024-09-22,14:53:03,2024-09-22,14:55:29,2.44,KT,서울 서초,대전 유성,,
이영희,010-1111-1301,윤다은,010-1166-1206,2024-08-11,20:52:31,2024-08-11,20:53:58,1.46,KT,대전 유성,대구 수성,,
박민수,010-1122-1202,조현우,010-1210-1210,2024-09-11,23:27:11,2024-09-11,23:30:23,3.2,LGU+,부산 해운대,대전 유성,,
권태영,010-1276-1116,윤다은,010-1166-1106,2024-06-04,15:07:06,2024-06-04,15:07:36,0.51,LGU+,서울 영등포,대구 수성,,
문재혁,010-1254-1114,윤다은,010-1166-1106,2024-06-09,13:20:42,2024-06-09,13:21:13,0.53,SKT,수원 영통,서울 서초,,
양준석006,010-8006-1006,양준석054,010-8054-1054,2024-06-02,01:28:26,2024-06-02,01:36:43,8.29,SKT,서울 강남,수원 영통,,
남지연016,010-8016-1016,전성호004,010-8004-1004,2024-08-07,01:32:39,2024-08-07,01:45:31,12.88,KT,서울 서초,서울 서초,,
고은비021,010-8021-1021,노시우073,010-8073-1073,2024-01-06,16:19:21,2024-01-06,16:21:03,1.7,KT,대구 수성,서울 강남,,
도하린026,010-8026-1026,안채원078,010-8078-1078,2024-07-09,16:38:16,2024-07-09,16:47:17,9.03,SKT,대전 유성,서울 영등포,,
마준호043,010-8043-1043,남지연016,010-8016-1016,2024-05-13,17:12:31,2024-05-13,17:18:18,5.79,SKT,수원 영통,서울 서초,,
장도윤063,010-8063-1063,송우진049,010-8049-1049,2024-04-05,12:00:19,2024-04-05,12:17:56,17.62,LGU+,서울 강남,대전 유성,,
설진우013,010-8013-1013,이영희,010-1111-1301,2024-08-16,11:58:00,2024-08-16,11:58:15,0.26,SKT,서울 강남,대전 유성,,
윤다은,010-1166-1106,이영희,010-1111-1101,2024-04-30,20:43:58,2024-04-30,20:44:32,0.57,SKT,서울 서초,대구 수성,,
남지연032,010-8032-1032,장도윤015,010-8015-1015,2024-01-16,17:01:33,2024-01-16,17:02:25,0.87,SKT,부산 해운대,대전 유성,,
노시우073,010-8073-1073,유태경072,010-8072-1072,2024-04-19,23:26:56,2024-04-19,23:30:50,3.91,SKT,대구 수성,대전 유성,,
도하린074,010-8074-1074,변서연060,010-8060-1060,2024-10-03,16:46:14,2024-10-03,16:46:53,0.65,SKT,수원 영통,서울 서초,,
도하린058,010-8058-1058,마준호043,010-8043-1043,2024-07-09,15:16:36,2024-07-09,15:27:06,10.5,LGU+,대전 유성,대전 유성,,
송우진017,010-8017-1017,조현우,010-1210-1210,2024-09-15,23:45:48,2024-09-15,23:46:57,1.15,SKT,서울 강남,서울 영등포,,
마준호027,010-8027-1027,남지연000,010-8000-1000,2024-02-26,02:51:29,2024-02-26,02:52:13,0.74,SKT,인천 부평,서울 영등포,,
안채원030,010-8030-1030,임수빈,010-1221-1111,2024-06-09,23:32:34,2024-06-09,23:46:19,13.76,LGU+,수원 영통,서울 강남,,
안채원062,010-8062-1062,양준석054,010-8054-1054,2024-03-14,19:13:33,2024-03-14,19:28:40,15.13,KT,서울 강남,서울 서초,,
장도윤047,010-8047-1047,남지연016,010-8016-1016,2024-08-30,02:01:28,2024-08-30,02:08:45,7.29,SKT,부산 해운대,대전 유성,,
양준석006,010-8006-1006,전성호052,010-8052-1052,2024-04-10,00:43:52,2024-04-10,00:44:08,0.27,LGU+,부산 해운대,수원 영통,,
조현우,010-1210-1210,남지연064,010-8064-1064,2024-08-21,11:03:39,2024-08-21,11:15:29,11.84,LGU+,수원 영통,수원 영통,,
전성호068,010-8068-1068,차미래023,010-8023-1023,2024-07-21,00:47:47,2024-07-21,00:48:08,0.36,LGU+,부산 해운대,서울 서초,,
노시우025,010-8025-1025,설진우061,010-8061-1061,2024-09-18,06:03:39,2024-09-18,06:04:55,1.27,SKT,대구 수성,수원 영통,,
황미경035,010-8035-1035,고은비069,010-8069-1069,2024-06-20,13:22:33,2024-06-20,13:36:05,13.54,LGU+,서울 서초,서울 강남,,
윤다은,010-1166-1206,이영희,010-1111-1201,2024-07-14,12:42:50,2024-07-14,12:44:06,1.27,SKT,수원 영통,서울 강남,,
강민재,010-1188-1008,변서연060,010-8060-1060,2024-01-17,09:26:11,2024-01-17,09:40:15,14.07,LGU+,대구 수성,대전 유성,,
장도윤047,010-8047-1047,양준석022,010-8022-1022,2024-04-05,07:50:00,2024-04-05,07:50:37,0.62,SKT,인천 부평,서울 강남,,
정하늘,010-1144-1104,강민재,010-1188-1008,2024-04-12,04:15:50,2024-04-12,04:25:14,9.4,KT,대전 유성,수원 영통,,
차미래023,010-8023-1023,마준호011,010-8011-1011,2024-07-04,06:25:06,2024-07-04,06:25:56,0.84,SKT,대구 수성,서울 서초,,
류하준050,010-8050-1050,남지연048,010-8048-1048,2024-10-06,13:39:42,2024-10-06,13:49:51,10.15,SKT,대구 수성,수원 영통,,
차미래039,010-8039-1039,변서연012,010-8012-1012,2024-02-16,20:25:20,2024-02-16,20:36:54,11.57,LGU+,서울 영등포,대구 수성,,
장도윤079,010-8079-1079,마준호027,010-8027-1027,2024-05-01,10:34:47,2024-05-01,10:36:08,1.36,SKT,수원 영통,서울 서초,,
도하린042,010-8042-1042,송우진033,010-8033-1033,2024-05-29,23:14:19,2024-05-29,23:27:22,13.05,SKT,인천 부평,서울 서초,,
문재혁,010-1254-1114,마준호059,010-8059-1059,2024-06-09,13:07:34,2024-06-09,13:14:39,7.09,SKT,수원 영통,인천 부평,,
홍예린,010-1243-1213,안채원078,010-8078-1078,2024-08-14,06:05:57,2024-08-14,06:08:39,2.71,SKT,대구 수성,대전 유성,,
도하린026,010-8026-1026,장도윤015,010-8015-1015,2024-06-19,06:42:51,2024-06-19,06:58:40,15.83,SKT,대구 수성,서울 영등포,,
장도윤047,010-8047-1047,류하준018,010-8018-1018,2024-07-11,17:01:40,2024-07-11,17:10:02,8.38,KT,대구 수성,서울 영등포,,
송우진065,010-8065-1065,도하린074,010-8074-1074,2024-04-03,07:07:09,2024-04-03,07:08:55,1.78,SKT,서울 서초,대전 유성,,
노시우025,010-8025-1025,마준호011,010-8011-1011,2024-05-21,12:14:02,2024-05-21,12:15:47,1.75,SKT,서울 영등포,부산 해운대,,
유태경008,010-8008-1008,고은비021,010-8021-1021,2024-08-17,17:41:03,2024-08-17,17:42:24,1.36,KT,서울 영등포,서울 서초,,
장도윤047,010-8047-1047,마준호027,010-8027-1027,2024-01-10,18:05:59,2024-01-10,18:09:38,3.66,SKT,수원 영통,대전 유성,,
송우진017,010-8017-1017,안채원078,010-8078-1078,2024-05-24,21:21:59,2024-05-24,21:38:29,16.51,KT,수원 영통,대전 유성,,
장도윤063,010-8063-1063,유태경072,010-8072-1072,2024-01-08,05:17:10,2024-01-08,05:24:26,7.27,SKT,부산 해운대,부산 해운대,,
유태경008,010-8008-1008,변서연060,010-8060-1060,2024-02-04,03:17:52,2024-02-04,03:32:10,14.31,LGU+,서울 서초,수원 영통,,
박민수,010-1122-1102,이영희,010-1111-1101,2024-03-31,13:01:11,2024-03-31,13:02:20,1.16,KT,대구 수성,부산 해운대,,
도하린058,010-8058-1058,남지연000,010-8000-1000,2024-02-11,03:56:49,2024-02-11,04:07:44,10.93,SKT,인천 부평,인천 부평,,
유태경008,010-8008-1008,신소희,010-1265-1015,2024-01-08,16:03:23,2024-01-08,16:11:17,7.9,KT,대구 수성,대구 수성,,
차미래023,010-8023-1023,노시우041,010-8041-1041,2024-04-05,11:15:04,2024-04-05,11:19:43,4.66,KT,대전 유성,서울 영등포,,
황미경035,010-8035-1035,양준석038,010-8038-1038,2024-03-11,15:45:21,2024-03-11,15:55:01,9.67,LGU+,인천 부평,대전 유성,,
장도윤079,010-8079-1079,정하늘,010-1144-1104,2024-04-16,08:38:18,2024-04-16,08:42:21,4.06,SKT,인천 부평,대구 수성,,
변서연060,010-8060-1060,류하준018,010-8018-1018,2024-07-29,13:37:19,2024-07-29,13:39:23,2.07,KT,대구 수성,수원 영통,,
송우진049,010-8049-1049,류하준066,010-8066-1066,2024-06-18,01:25:15,2024-06-18,01:26:57,1.71,KT,부산 해운대,대구 수성,,
전성호052,010-8052-1052,노시우009,010-8009-1009,2024-01-31,04:08:15,2024-01-31,04:10:25,2.18,SKT,대구 수성,수원 영통,,
도하린042,010-8042-1042,안채원014,010-8014-1014,2024-01-28,13:49:08,2024-01-28,13:50:18,1.18,KT,수원 영통,서울 영등포,,
황미경035,010-8035-1035,양준석054,010-8054-1054,2024-07-16,06:20:32,2024-07-16,06:27:29,6.96,SKT,서울 서초,서울 강남,,
남지연016,010-8016-1016,송우진033,010-8033-1033,2024-05-29,21:16:26,2024-05-29,21:16:50,0.41,KT,부산 해운대,서울 영등포,,
마준호011,010-8011-1011,변서연076,010-8076-1076,2024-05-25,18:25:30,2024-05-25,18:26:26,0.94,KT,대구 수성,부산 해운대,,
설진우077,010-8077-1077,송우진033,010-8033-1033,2024-09-20,03:31:38,2024-09-20,03:32:07,0.49,KT,서울 강남,대구 수성,,
변서연044,010-8044-1044,노시우009,010-8009-1009,2024-05-21,04:57:25,2024-05-21,04:57:46,0.36,LGU+,서울 영등포,부산 해운대,,
유태경008,010-8008-1008,장도윤063,010-8063-1063,2024-02-01,16:26:41,2024-02-01,16:41:06,14.43,LGU+,서울 영등포,서울 서초,,
남지연064,010-8064-1064,도하린058,010-8058-1058,2024-09-12,01:07:31,2024-09-12,01:07:58,0.45,SKT,서울 강남,대구 수성,,
유태경072,010-8072-1072,류하준066,010-8066-1066,2024-07-14,14:47:59,2024-07-14,14:48:29,0.51,SKT,인천 부평,인천 부평,,
장도윤031,010-8031-1031,전성호052,010-8052-1052,2024-03-05,03:32:37,2024-03-05,03:38:02,5.42,KT,서울 강남,대구 수성,,
신소희,010-1265-1015,남지연000,010-8000-1000,2024-01-23,00:15:02,2024-01-23,00:24:03,9.02,KT,서울 영등포,서울 영등포,,
안채원046,010-8046-1046,안채원078,010-8078-1078,2024-07-23,12:49:29,2024-07-23,12:57:23,7.91,SKT,대구 수성,부산 해운대,,
황미경019,010-8019-1019,고은비005,010-8005-1005,2024-05-25,00:50:35,2024-05-25,00:51:40,1.09,LGU+,서울 영등포,대전 유성,,
홍예린,010-1243-1013,유태경040,010-8040-1040,2024-03-12,07:17:41,2024-03-12,07:20:06,2.43,LGU+,인천 부평,서울 강남,,
임수빈,010-1221-1111,안채원046,010-8046-1046,2024-04-30,01:42:07,2024-04-30,01:51:01,8.91,SKT,대구 수성,인천 부평,,
최지훈,010-1133-1203,마준호059,010-8059-1059,2024-09-05,07:22:08,2024-09-05,07:35:21,13.23,LGU+,대전 유성,부산 해운대,,
마준호027,010-8027-1027,노시우057,010-8057-1057,2024-02-24,00:41:43,2024-02-24,00:53:47,12.07,LGU+,대전 유성,부산 해운대,,
변서연044,010-8044-1044,마준호027,010-8027-1027,2024-04-29,02:24:41,2024-04-29,02:25:42,1.02,KT,서울 서초,인천 부평,,
양준석006,010-8006-1006,류하준050,010-8050-1050,2024-02-12,17:48:28,2024-02-12,18:03:48,15.34,KT,대구 수성,인천 부평,,
장도윤015,010-8015-1015,고은비069,010-8069-1069,2024-03-20,02:55:08,2024-03-20,03:02:34,7.44,LGU+,인천 부평,대전 유성,,
문재혁,010-1254-1014,황미경019,010-8019-1019,2024-01-18,19:39:39,2024-01-18,19:44:49,5.18,KT,수원 영통,대구 수성,,
설진우077,010-8077-1077,남지연000,010-8000-1000,2024-09-09,13:01:28,2024-09-09,13:15:13,13.75,LGU+,대구 수성,서울 영등포,,
고은비053,010-8053-1053,설진우013,010-8013-1013,2024-07-19,01:35:55,2024-07-19,01:40:00,4.09,KT,서울 서초,수원 영통,,
도하린042,010-8042-1042,양준석006,010-8006-1006,2024-06-07,04:51:22,2024-06-07,05:00:10,8.8,SKT,수원 영통,서울 강남,,
마준호059,010-8059-1059,변서연076,010-8076-1076,2024-04-26,14:07:26,2024-04-26,14:10:14,2.8,SKT,서울 서초,수원 영통,,
차미래071,010-8071-1071,전성호068,010-8068-1068,2024-03-27,02:57:30,2024-03-27,03:04:30,7.01,SKT,서울 강남,서울 서초,,
전성호036,010-8036-1036,전성호004,010-8004-1004,2024-03-04,00:39:23,2024-03-04,00:40:45,1.38,KT,수원 영통,수원 영통,,
차미래055,010-8055-1055,고은비037,010-8037-1037,2024-08-25,14:05:07,2024-08-25,14:21:07,16.01,LGU+,대전 유성,서울 영등포,,
남지연048,010-8048-1048,마준호043,010-8043-1043,2024-03-30,17:04:22,2024-03-30,17:18:52,14.5,KT,수원 영통,부산 해운대,,
도하린042,010-8042-1042,권태영,010-1276-1216,2024-07-17,07:25:35,2024-07-17,07:42:18,16.72,SKT,대전 유성,인천 부평,,
고은비069,010-8069-1069,설진우013,010-8013-1013,2024-01-15,19:57:45,2024-01-15,19:58:09,0.4,LGU+,서울 영등포,서울 영등포,,
설진우061,010-8061-1061,전성호004,010-8004-1004,2024-08-03,05:10:25,2024-08-03,05:11:30,1.09,SKT,수원 영통,서울 서초,,
남지연064,010-8064-1064,고은비021,010-8021-1021,2024-03-12,03:44:29,2024-03-12,03:46:29,2.0,LGU+,대구 수성,서울 서초,,
변서연044,010-8044-1044,양준석070,010-8070-1070,2024-03-06,02:19:11,2024-03-06,02:19:48,0.62,LGU+,부산 해운대,서울 서초,,
한지우,010-1177-1007,마준호043,010-8043-1043,2024-03-02,13:44:08,2024-03-02,13:53:15,9.12,SKT,대구 수성,서울 서초,,
정하늘,010-1144-1104,조현우,010-1210-1110,2024-06-21,18:02:52,2024-06-21,18:18:32,15.68,SKT,서울 강남,인천 부평,,
장도윤031,010-8031-1031,안채원014,010-8014-1014,2024-03-16,14:06:48,2024-03-16,14:08:28,1.67,KT,수원 영통,대구 수성,,
고은비005,010-8005-1005,노시우073,010-8073-1073,2024-09-28,10:52:34,2024-09-28,10:53:48,1.24,LGU+,서울 서초,서울 강남,,
송우진065,010-8065-1065,장도윤047,010-8047-1047,2024-05-30,13:12:38,2024-05-30,13:14:51,2.22,LGU+,서울 서초,서울 강남,,
황미경051,010-8051-1051,강민재,010-1188-1208,2024-07-07,10:41:33,2024-07-07,10:42:36,1.06,SKT,서울 강남,서울 강남,,
권태영,010-1276-1016,박민수,010-1122-1002,2024-03-08,19:24:09,2024-03-08,19:27:54,3.76,LGU+,서울 영등포,수원 영통,,
안채원062,010-8062-1062,황미경035,010-8035-1035,2024-04-30,00:31:42,2024-04-30,00:32:18,0.61,LGU+,인천 부평,서울 서초,,
황미경003,010-8003-1003,안채원030,010-8030-1030,2024-09-26,08:09:54,2024-09-26,08:13:58,4.08,SKT,대구 수성,서울 영등포,,
설진우013,010-8013-1013,장도윤047,010-8047-1047,2024-09-18,07:07:38,2024-09-18,07:08:21,0.72,LGU+,대구 수성,부산 해운대,,
설진우045,010-8045-1045,도하린026,010-8026-1026,2024-08-03,13:29:46,2024-08-03,13:38:27,8.69,KT,수원 영통,대전 유성,,
안채원078,010-8078-1078,마준호011,010-8011-1011,2024-06-16,05:32:21,2024-06-16,05:38:02,5.69,LGU+,서울 서초,대전 유성,,
노시우041,010-8041-1041,류하준002,010-8002-1002,2024-09-03,15:24:06,2024-09-03,15:36:09,12.06,KT,대전 유성,서울 영등포,,
마준호059,010-8059-1059,장도윤015,010-8015-1015,2024-01-20,00:47:41,2024-01-20,00:53:09,5.47,SKT,서울 서초,인천 부평,,
양준석070,010-8070-1070,전성호068,010-8068-1068,2024-02-19,23:43:27,2024-02-19,23:43:55,0.47,LGU+,서울 강남,서울 강남,,
변서연028,010-8028-1028,고은비005,010-8005-1005,2024-03-12,19:27:25,2024-03-12,19:27:51,0.44,LGU+,서울 서초,수원 영통,,
장도윤063,010-8063-1063,송우진033,010-8033-1033,2024-08-23,12:35:00,2024-08-23,12:42:21,7.36,KT,서울 강남,서울 영등포,,
정하늘,010-1144-1204,이영희,010-1111-1301,2024-08-23,22:09:27,2024-08-23,22:09:52,0.43,LGU+,인천 부평,수원 영통,,
류하준034,010-8034-1034,유태경072,010-8072-1072,2024-09-18,17:09:07,2024-09-18,17:09:46,0.66,LGU+,수원 영통,수원 영통,,
이영희,010-1111-1301,정하늘,010-1144-1204,2024-08-25,18:39:42,2024-08-25,18:40:23,0.69,SKT,수원 영통,대전 유성,,
한지우,010-1177-1007,양준석070,010-8070-1070,2024-03-27,00:33:00,2024-03-27,00:34:04,1.08,KT,인천 부평,서울 강남,,
류하준066,010-8066-1066,노시우073,010-8073-1073,2024-02-16,03:16:07,2024-02-16,03:24:01,7.91,SKT,서울 강남,서울 서초,,
장도윤031,010-8031-1031,장도윤063,010-8063-1063,2024-02-08,15:29:19,2024-02-08,15:40:19,11.0,KT,서울 영등포,서울 서초,,
차미래039,010-8039-1039,황미경067,010-8067-1067,2024-01-29,20:23:49,2024-01-29,20:25:33,1.74,LGU+,서울 영등포,인천 부평,,
송우진017,010-8017-1017,황미경035,010-8035-1035,2024-06-12,07:55:37,2024-06-12,07:55:59,0.37,LGU+,서울 영등포,서울 강남,,
고은비021,010-8021-1021,변서연012,010-8012-1012,2024-03-28,02:22:58,2024-03-28,02:39:26,16.48,SKT,수원 영통,서울 강남,,
장도윤031,010-8031-1031,고은비069,010-8069-1069,2024-07-21,01:39:17,2024-07-21,01:39:57,0.67,LGU+,인천 부평,서울 강남,,
안채원046,010-8046-1046,고은비053,010-8053-1053,2024-03-13,19:25:22,2024-03-13,19:32:07,6.75,SKT,서울 영등포,수원 영통,,
오세진,010-1155-1205,변서연028,010-8028-1028,2024-10-03,17:58:26,2024-10-03,17:59:17,0.86,SKT,서울 강남,서울 영등포,,
전성호036,010-8036-1036,차미래071,010-8071-1071,2024-04-26,08:01:00,2024-04-26,08:13:54,12.9,SKT,수원 영통,대구 수성,,
전성호068,010-8068-1068,류하준066,010-8066-1066,2024-05-16,07:49:04,2024-05-16,07:50:04,1.01,KT,수원 영통,대구 수성,,
설진우013,010-8013-1013,전성호036,010-8036-1036,2024-02-14,01:49:22,2024-02-14,01:53:22,4.01,KT,서울 서초,수원 영통,,
서유진,010-1199-1209,류하준050,010-8050-1050,2024-09-12,09:47:19,2024-09-12,09:55:14,7.92,SKT,인천 부평,대전 유성,,
변서연028,010-8028-1028,마준호043,010-8043-1043,2024-01-18,07:54:25,2024-01-18,07:55:22,0.96,LGU+,인천 부평,부산 해운대,,
장도윤015,010-8015-1015,유태경056,010-8056-1056,2024-09-09,08:05:55,2024-09-09,08:09:14,3.33,KT,서울 서초,대전 유성,,
정하늘,010-1144-1204,노시우057,010-8057-1057,2024-09-01,17:04:16,2024-09-01,17:16:41,12.42,SKT,인천 부평,수원 영통,,
송우진033,010-8033-1033,설진우045,010-8045-1045,2024-09-16,07:58:59,2024-09-16,08:14:51,15.88,SKT,서울 강남,서울 영등포,,
서유진,010-1199-1009,유태경040,010-8040-1040,2024-03-01,07:19:07,2024-03-01,07:23:13,4.11,LGU+,서울 영등포,대구 수성,,
고은비037,010-8037-1037,신소희,010-1265-1115,2024-04-27,00:00:36,2024-04-27,00:11:40,11.08,LGU+,인천 부평,대전 유성,,
노시우041,010-8041-1041,고은비021,010-8021-1021,2024-04-28,17:14:20,2024-04-28,17:14:32,0.21,SKT,서울 영등포,인천 부평,,
변서연012,010-8012-1012,안채원062,010-8062-1062,2024-02-21,06:58:34,2024-02-21,07:06:04,7.5,SKT,대전 유성,수원 영통,,
남지연032,010-8032-1032,유태경024,010-8024-1024,2024-09-23,00:31:20,2024-09-23,00:47:43,16.4,SKT,부산 해운대,인천 부평,,
장도윤079,010-8079-1079,변서연028,010-8028-1028,2024-09-06,02:38:03,2024-09-06,02:39:05,1.04,LGU+,서울 강남,서울 영등포,,
조현우,010-1210-1110,설진우077,010-8077-1077,2024-04-14,12:58:15,2024-04-14,13:08:38,10.39,KT,대구 수성,수원 영통,,
황미경051,010-8051-1051,장도윤063,010-8063-1063,2024-05-26,14:10:59,2024-05-26,14:26:50,15.85,KT,인천 부평,서울 강남,,
송우진001,010-8001-1001,송우진017,010-8017-1017,2024-02-07,23:34:19,2024-02-07,23:35:35,1.28,KT,수원 영통,수원 영통,,
남지연032,010-8032-1032,노시우073,010-8073-1073,2024-01-09,12:42:44,2024-01-09,12:48:26,5.7,KT,서울 서초,서울 서초,,
전성호004,010-8004-1004,류하준034,010-8034-1034,2024-07-15,09:52:05,2024-07-15,09:52:21,0.28,LGU+,대구 수성,수원 영통,,
한지우,010-1177-1207,남지연000,010-8000-1000,2024-09-29,17:26:00,2024-09-29,17:27:16,1.28,LGU+,인천 부평,인천 부평,,
양준석070,010-8070-1070,노시우025,010-8025-1025,2024-03-13,12:34:46,2024-03-13,12:35:42,0.94,LGU+,대구 수성,서울 영등포,,
이영희,010-1111-1201,최지훈,010-1133-1103,2024-05-26,07:17:21,2024-05-26,07:17:58,0.62,LGU+,서울 서초,서울 영등포,,
유태경040,010-8040-1040,노시우009,010-8009-1009,2024-03-13,00:06:55,2024-03-13,00:07:38,0.72,SKT,부산 해운대,서울 영등포,,
박민수,010-1122-1202,한지우,010-1177-1207,2024-08-20,10:10:23,2024-08-20,10:16:41,6.3,KT,서울 서초,서울 강남,,
도하린042,010-8042-1042,황미경003,010-8003-1003,2024-01-04,01:02:09,2024-01-04,01:03:23,1.24,KT,부산 해운대,부산 해운대,,
안채원014,010-8014-1014,류하준066,010-8066-1066,2024-04-05,15:08:29,2024-04-05,15:19:27,10.98,KT,대구 수성,서울 강남,,
황미경067,010-8067-1067,고은비021,010-8021-1021,2024-02-21,21:10:40,2024-02-21,21:22:26,11.78,LGU+,부산 해운대,서울 영등포,,
서유진,010-1199-1009,장도윤015,010-8015-1015,2024-01-07,01:53:49,2024-01-07,02:11:31,17.7,SKT,부산 해운대,대구 수성,,
도하린010,010-8010-1010,변서연044,010-8044-1044,2024-04-02,23:09:49,2024-04-02,23:27:02,17.23,LGU+,서울 서초,서울 영등포,,
변서연076,010-8076-1076,차미래055,010-8055-1055,2024-04-04,12:04:26,2024-04-04,12:14:44,10.31,KT,대전 유성,서울 영등포,,
문재혁,010-1254-1114,안채원062,010-8062-1062,2024-03-26,02:36:01,2024-03-26,02:50:32,14.53,SKT,인천 부평,서울 강남,,
황미경067,010-8067-1067,고은비021,010-8021-1021,2024-07-25,01:19:58,2024-07-25,01:21:18,1.34,SKT,대전 유성,인천 부평,,
도하린026,010-8026-1026,차미래071,010-8071-1071,2024-10-06,15:20:41,2024-10-06,15:25:41,5.01,KT,수원 영통,서울 서초,,
변서연028,010-8028-1028,마준호011,010-8011-1011,2024-08-14,02:27:46,2024-08-14,02:39:32,11.78,SKT,대전 유성,수원 영통,,
안채원062,010-8062-1062,차미래039,010-8039-1039,2024-07-21,03:03:53,2024-07-21,03:04:47,0.91,LGU+,서울 영등포,대구 수성,,
송우진049,010-8049-1049,남지연032,010-8032-1032,2024-01-15,06:37:19,2024-01-15,06:40:50,3.52,SKT,인천 부평,대전 유성,,
변서연028,010-8028-1028,남지연000,010-8000-1000,2024-08-22,08:00:10,2024-08-22,08:07:14,7.08,LGU+,부산 해운대,대전 유성,,
변서연044,010-8044-1044,강민재,010-1188-1008,2024-04-09,09:59:32,2024-04-09,10:03:21,3.82,SKT,서울 영등포,인천 부평,,
권태영,010-1276-1016,최지훈,010-1133-1003,2024-03-11,16:23:25,2024-03-11,16:29:45,6.34,KT,부산 해운대,서울 서초,,
임수빈,010-1221-1211,마준호059,010-8059-1059,2024-10-05,13:34:24,2024-10-05,13:49:24,15.0,SKT,수원 영통,대전 유성,,
유태경056,010-8056-1056,황미경003,010-8003-1003,2024-09-01,20:27:13,2024-09-01,20:33:55,6.7,SKT,서울 영등포,부산 해운대,,
설진우013,010-8013-1013,변서연028,010-8028-1028,2024-08-20,04:53:44,2024-08-20,05:09:57,16.22,SKT,서울 강남,서울 서초,,
도하린010,010-8010-1010,유태경024,010-8024-1024,2024-09-04,16:03:06,2024-09-04,16:12:48,9.7,SKT,대전 유성,대구 수성,,
유태경024,010-8024-1024,도하린042,010-8042-1042,2024-08-12,00:55:28,2024-08-12,00:57:38,2.18,SKT,인천 부평,서울 영등포,,
